	umap dim 1	umap dim 2	Membrane.Ecad..HCC.650.Joe..Mean..Normalized.Counts..Total.Weighting.	Nucleus.DAPI.Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD103..HCC.520.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.Glypican..HCC.540.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD8..HCC.570.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.PD1..HCC.620.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD3..HCC.690.Joe..Mean..Normalized.Counts..Total.Weighting.
1	2.4223025	-3.6719263	4.291	13.214	0.279	2.452	3.614	2.34	0.715
2	3.0703154	1.6555256	9.958	11.541	0.76	5.069	9.55	3.828	1.524
3	2.7960835	10.599632	21.445	11.561	1.144	9.262	20.599	7.469	2.419
4	2.6535165	12.472577	24.339	12.719	1.457	17.462	22.624	6.137	3.095
5	0.15661013	7.2187223	15.428	12.347	1.119	7.206	14.135	6.185	1.983
6	2.9224417	-2.3200898	4.251	11.577	0.501	3.682	7.131	4.315	1.467
7	3.3091679	11.958985	20.63	12.132	1.225	10.202	30.488	6.314	3.501
8	1.8159251	12.768414	25.784	16.812	1.407	12.284	19.706	6.347	2.998
9	2.840936	13.493593	27.919	15.596	1.297	10.559	29.368	8.596	2.807
10	-0.077541076	8.408941	18.499	12.02	1.131	7.674	14.073	7.189	2.315
11	0.16249423	7.3252063	16.63	13.189	1.206	7.181	14.547	5.059	2.157
12	3.1332872	12.523379	25.388	14.023	1.253	13.904	29.565	9.922	1.921
13	1.5052308	-3.2367513	7.68	11.208	0.231	2.179	2.894	1.735	0.725
14	3.3487196	3.6634917	11.277	12.896	1.132	5.677	12.57	5.443	2.389
15	-0.14332391	9.566762	20.289	16.196	1.221	6.617	13.963	5.069	2.038
16	2.9964564	12.691922	24.367	14.663	1.269	12.6	27.511	7.056	2.561
17	1.809036	12.900632	27.015	15.314	1.94	12.799	19.769	6.826	2.708
18	0.6138056	10.8601	22.843	12.835	1.405	8.889	15.819	4.91	2.503
19	0.31814831	6.1549025	14.782	16.623	1.165	7.496	11.8	5.21	2.198
20	0.17190666	9.088745	18.65	16.153	1.27	8.796	13.286	5.813	2.123
21	-0.48920316	9.983015	22.275	11.65	1.323	6.783	14.847	6.598	2.135
22	1.5445731	11.716188	22.945	12.642	1.381	9.51	22.016	4.805	2.304
23	0.82084817	11.071395	22.939	17.842	1.707	10.117	16.377	4.967	2.884
24	2.823018	-0.15154862	8.504	12.923	0.649	4.764	8.446	2.507	1.345
25	2.8310585	14.196206	32.563	17.842	1.419	17.987	29.749	5.478	2.655
26	2.2708066	14.415545	35.498	11.577	1.089	9.695	26.368	6.56	2.739
27	3.2103117	8.629601	16.157	14.405	1.22	11.257	17.946	6.115	2.438
28	1.841789	13.588873	31.625	11.868	1.878	14.764	20.267	3.253	2.769
29	1.8558865	15.334563	44.614	16.797	1.686	12.129	19.351	5.185	2.478
30	0.64722884	8.414655	18.385	15.478	0.992	7.716	15.004	6.253	2.209
31	-0.292472	11.248244	23.473	14.719	1.586	8.155	13.676	5.315	2.207
32	-0.40029415	5.486016	14.935	11.924	1.268	6.312	10.939	4.89	2.222
33	-0.19886898	5.814017	15.497	12.125	0.868	6.002	12.232	5.784	1.835
34	2.77097	7.9304037	16.33	11.388	1.242	8.568	16.4	6.707	1.817
35	1.5754608	14.008726	32.264	14.965	1.423	9.356	22.063	4.608	2.708
36	2.261178	13.639571	29.435	16.92	1.165	17.285	23.576	5.986	2.344
37	1.8082721	15.4499855	50.448	14.995	1.015	18.222	13.84	3.406	2.092
38	2.9401705	13.605487	28.239	14.767	1.634	13.329	31.522	6.314	2.674
39	2.0187395	2.515871	9.424	17.676	1.092	5.771	11.558	4.307	2.172
40	-4.073888	3.0250742	17.442	14.827	1.133	5.052	10.709	4.689	2.265
41	0.4564503	8.766962	19.025	16.115	1.293	6.588	14.161	5.806	2.243
42	3.528095	3.73861	10.576	14.696	0.928	6.851	13.738	5.661	2.111
43	3.3049412	11.98579	20.688	13.968	0.981	10.767	30.05	8.012	2.525
44	-0.84400076	4.402546	16.346	12.431	0.325	4.012	8.329	3.48	1.089
45	3.2022433	4.2639627	12.812	12.236	1.04	7.447	11.979	4.707	2.183
46	-0.1820222	8.170238	18.303	12.983	1.045	5.967	13.433	5.677	1.873
47	0.6729909	10.688138	21.939	12.342	1.038	9.666	16.326	6.158	1.811
48	1.865473	14.861778	37.549	13.398	1.087	16.4	18.819	6.261	1.664
49	1.7991594	11.274983	21.7	16.661	1.378	10.596	18.486	6.415	1.814
50	2.8563643	13.835578	30.286	15.153	1.387	8.967	30.129	3.797	1.902
51	3.448531	5.153024	12.052	12.842	1.34	8.985	14.107	5.002	2.523
52	3.0253136	10.432542	17.162	15.708	1.082	11.25	22.254	6.58	2.252
53	8.991327	4.7722106	25.332	11.806	0.851	17.56	38.851	8.726	2.872
54	0.4651494	14.151497	32.482	11.754	1.77	9.813	13.982	3.022	2.932
55	1.8149675	14.348145	35.227	12.016	1.423	17.837	16.069	2.549	3.334
56	3.572617	-0.8657305	5.187	11.21	0.973	4.482	8.631	4.249	2.501
57	8.99741	4.7539525	27.818	12.919	0.858	9.223	39.926	7.661	2.211
58	-0.21848656	13.100961	29.207	14.945	1.254	6.704	10.945	4.142	2.176
59	1.948805	13.279621	28.836	16.151	1.436	16.89	17.248	4.588	2.152
60	2.4181194	9.759654	19.361	15.091	1.431	8.394	18.423	4.795	2.446
61	0.8226481	12.208127	24.28	17.523	1.58	11.966	15.019	5.294	2.856
62	0.07114044	7.1344876	17.011	15.162	1.298	6.523	13.417	5.388	2.374
63	2.528307	10.900961	20.666	13.092	1.324	13.745	17.519	4.529	2.34
64	1.1788357	13.653313	30.33	13.94	1.201	9.938	17.91	6.196	2.001
65	0.60357165	10.476005	21.566	11.646	1.347	8.766	14.773	5.49	2.158
66	0.8969147	12.068641	25.044	19.367	1.763	9.471	17.368	5.115	3.341
67	-0.084335476	9.583378	20.466	19.173	1.191	8.062	11.524	5.05	2.427
68	1.6772959	13.494242	29.534	12.845	1.713	14.832	18.965	3.801	2.703
69	2.7741785	8.005686	15.964	12.226	1.001	8.642	16.435	5.607	1.751
70	-0.4179828	10.89653	22.606	13.359	1.027	7.786	14.142	4.771	2.151
71	1.2873796	15.285489	44.173	12.91	1.367	6.498	13.082	3.704	2.98
72	8.995892	4.75152	26.309	11.591	1.042	10.273	38.245	6.238	1.478
73	1.3811941	11.537265	22.29	12.363	1.391	9.205	19.441	4.041	2.298
74	2.7321064	13.45387	27.336	17.322	1.029	7.902	29.185	5.529	2.778
75	-0.29912862	3.5161467	13.478	13.197	0.763	4.294	8.095	4.805	1.679
76	0.61878824	10.518412	22.175	11.711	1.457	9.387	14.838	4.043	2.635
77	2.2371457	14.0248375	34.018	16.818	1.219	21.376	21.005	4.119	2.487
78	2.8700306	14.307759	33.909	18.152	1.16	18.34	33.762	4.527	2.785
79	0.56857747	12.605723	26.492	14.955	1.386	9.065	16.428	4.185	2.241
80	2.9509597	5.363715	12.558	11.481	1.142	11.6	10.976	4.135	1.497
81	0.6236896	12.68984	27.423	13.588	1.319	11.906	14.307	4.127	2.597
82	1.8586286	12.463996	25.366	19.185	1.383	14.907	16.844	4.166	2.785
83	0.55774105	12.737474	27.277	15.179	1.862	10.04	16.031	4.02	2.646
84	2.229092	13.531852	29.458	14.635	1.422	20.516	17.454	3.668	3.19
85	-0.056538228	13.289805	29.072	12.928	1.121	8.177	13.728	4.771	1.93
86	1.2271461	11.55534	24.003	11.691	1.494	9.643	18.144	4.267	1.931
87	0.40010375	14.4059515	34.885	12.571	1.223	8.401	13.243	4.814	2.208
88	0.80375385	14.645391	36.763	13.222	1.282	9.745	14.432	5.537	2.255
89	3.8886287	7.736667	13.521	12.457	0.874	11.798	20.617	6.521	1.802
90	0.2628134	9.162754	19.565	11.596	1.281	8.429	14.423	5.772	1.945
91	6.18815	3.1576636	6.194	14.958	0.577	3.192	20.349	6.874	1.541
92	-0.6042373	10.869231	24.558	12.328	1.819	6.786	13.264	3.193	2.416
93	1.185282	13.721126	30.969	14.348	1.761	10.63	17.772	4.783	2.282
94	-0.12966341	13.110071	29.625	14.708	1.345	7.899	11.787	4.522	1.859
95	1.4580024	11.763692	24.224	11.837	0.917	10.884	21.038	5.629	1.605
96	1.3137275	11.66656	23.725	12.551	0.886	9.701	18.786	6.904	1.805
97	3.9914799	4.436397	10.409	12.012	1.158	8.179	13.847	4.605	1.641
98	1.7482781	12.086772	24.096	13.222	1.405	14.028	16.614	4.034	1.498
99	2.7296476	13.032332	25.598	13.622	1.634	17.219	25.579	4.296	2.375
100	1.8634653	9.504947	19.579	12.705	1.342	12.204	14.903	5.247	2.471
101	2.9045162	13.692873	28.182	13.409	0.956	10.189	31.741	6.121	2.556
102	-0.27584007	13.168169	29.527	11.282	1.96	5.652	14.572	3.916	2.65
103	-0.106898	10.299895	20.424	14.85	1.086	7.311	15.247	3.414	2.201
104	0.9915913	13.794499	30.251	16.135	1.807	12.694	15.742	3.979	3.066
105	0.12588799	6.7678957	15.492	12.621	1.244	8.064	13.058	3.919	2.296
106	0.8805187	11.278252	22.573	15.129	1.172	8.154	16.492	5.555	2.167
107	4.0522885	6.8615847	11.744	12.198	0.75	8.865	20.933	6.227	1.803
108	-0.18476446	5.8632174	14.089	11.78	1.233	6.726	12.275	4.224	1.656
109	0.2760882	7.427637	16.856	12.347	1.127	5.781	15.517	6.253	2.14
110	1.9395862	11.366736	22.378	15.738	1.207	13.761	16.674	3.773	2.354
111	2.115152	13.459494	28.43	15.02	1.929	14.577	22.251	4.135	2.475
112	0.8687893	10.306842	20.342	13.875	1.764	9.635	17.047	4.913	2.313
113	2.9720345	8.676714	16.144	11.65	1.392	11.779	17.083	4.563	2.253
114	1.8599061	14.27281	32.61	11.795	1.227	12.023	21.43	6.017	2.422
115	2.7934768	8.557335	15.431	13.016	1.126	12.204	15.73	4.534	1.756
116	3.4292395	3.8663108	12.343	11.622	1.292	5.904	12.545	3.863	2.642
117	3.537052	5.3178077	11.586	12.55	1.499	9.89	14.318	4.614	1.675
118	2.1303344	8.740599	17.478	17.413	1.247	10.591	15.547	6.056	2.12
119	2.526133	12.47437	26.403	13.501	1.12	21.503	14.232	5.059	1.901
120	1.6011032	2.8651197	11.185	17.643	0.431	7.33	10.097	2.17	1.056
121	-0.40852144	5.426415	14.268	12.877	1.114	6.599	10.346	3.414	1.838
122	3.672195	8.594344	11.908	13.087	0.94	17.785	11.76	4.887	1.582
123	1.4932181	11.391043	22.152	15.902	1.178	9.783	19.007	3.894	1.955
124	-0.60673755	10.580082	22.358	12.373	1.016	7.98	13.057	4.583	1.941
125	0.80116427	14.286727	32.578	11.828	1.031	10.23	16.292	3.891	2.038
126	4.0332646	6.1954975	11.761	12.296	0.808	6.488	17.371	5.453	1.908
127	-0.19735229	9.546777	19.937	13.202	1.218	8.713	13.979	5.71	1.977
128	1.0424461	13.912256	31.657	13.769	1.952	14.477	14.311	3.016	2.866
129	1.2215623	8.746977	17.804	14.003	1.231	12.185	11.102	4.796	2.064
130	0.61922497	8.885995	19.102	17.104	1.41	7.106	14.402	5.946	2.358
131	-0.19460605	5.3367724	15.488	14.284	0.951	5.494	10.923	4.897	1.749
132	9.645635	4.2744865	13.904	16.792	0.969	6.772	45.017	5.948	3.682
133	2.5439672	9.444283	17.486	11.283	1.603	15.048	12.254	5.528	2.071
134	0.76768565	8.572034	18.662	16.89	1.285	7.362	14.571	5.245	2.023
135	2.2835732	-3.471744	4.257	11.798	0.35	2.986	4.614	3.098	0.869
136	1.0349234	13.162413	28.13	11.843	1.132	10.099	17.377	4.495	1.907
137	4.2165627	1.0343127	7.308	13.728	1.263	5.423	11.826	4.768	1.785
138	-0.6917156	7.2569337	17.619	11.992	1.712	5.931	10.965	5.124	1.842
139	1.6177094	10.236574	20.791	35.808	1.119	18.478	16.711	3.132	2.687
140	0.10896329	6.424663	15.596	15.468	1.378	8.603	10.827	4.062	2.226
141	2.1444416	-3.5799575	5.602	11.438	0.377	2.941	4.269	1.372	0.88
142	1.193987	8.387937	17.285	18.389	1.528	8.93	13.509	4.234	2.703
143	0.361685	14.231	32.807	12.783	1.968	6.868	13.394	3.951	2.997
144	4.1548305	0.94686484	6.513	12.755	0.645	7.019	10.909	5.275	1.278
145	2.1693044	5.1885047	12.974	16.301	1.19	8.156	11.202	3.769	1.539
146	0.88580215	13.825169	30.802	16.774	1.743	8.336	17.228	4.052	2.484
147	-0.6862333	7.3338304	17.345	11.989	0.902	7.413	11.728	4.44	1.492
148	3.2722995	11.822206	21.011	13.006	1.027	8.483	27.769	6.322	2.0
149	2.6065013	5.0664663	12.551	16.386	1.145	6.747	11.773	5.598	2.111
150	2.4560738	8.423888	18.233	11.955	1.722	6.657	17.379	6.05	2.51
151	1.0247599	12.24637	25.378	13.635	1.389	11.842	15.595	4.739	2.357
